cap.shape,cap.color,bruises,stalk.color.above.ring,stalk.color.below.ring,population,Id,poisonous
f,w,True,w,w,s,4991,1
f,e,True,p,w,v,1878,0
x,w,False,w,w,a,4592,0
f,n,True,w,w,y,1919,0
f,g,False,b,b,v,5415,1
f,n,False,p,p,v,6273,1
x,g,True,w,w,v,1890,0
f,y,False,p,n,v,4259,1
b,y,True,w,w,s,1933,0
x,e,False,w,w,v,2837,1
x,g,True,p,p,v,2659,0
x,y,True,w,w,s,3018,0
f,n,False,o,o,c,6806,0
x,g,False,p,p,y,1652,1
f,w,True,w,w,s,4653,1
x,y,False,n,b,v,4118,1
f,g,False,p,b,v,5642,1
f,g,False,n,n,v,7749,1
x,n,False,w,w,s,565,0
f,y,False,b,p,v,5907,1
x,e,False,w,p,v,7331,1
x,y,True,w,w,y,1422,0
f,g,True,g,w,v,2927,0
f,g,False,w,w,y,6541,0
x,n,False,p,w,v,4299,1
x,g,False,w,w,s,5570,1
x,n,True,g,p,v,1159,0
f,g,True,p,g,v,4479,0
f,e,True,w,p,v,5478,0
f,g,False,b,n,v,3692,1
x,b,True,e,e,c,1073,0
f,n,False,w,w,a,5932,0
f,g,True,p,w,v,1010,0
k,n,False,w,p,v,1166,1
f,y,False,n,p,y,3134,1
x,y,True,w,w,v,1845,0
f,y,False,p,n,v,386,1
f,n,True,w,w,c,7721,0
x,y,False,p,b,y,7257,1
x,y,True,w,w,s,218,0
b,w,True,w,w,n,2503,0
f,n,False,p,p,v,4691,1
k,e,False,p,p,v,6453,1
f,g,True,g,p,y,5025,0
x,y,False,w,y,v,2914,1
f,n,False,p,p,v,2482,1
b,y,False,w,n,v,4914,1
x,g,True,g,w,y,5610,0
f,b,True,w,w,v,1153,1
k,n,False,w,p,v,3689,1
x,g,True,w,g,v,3296,0
f,e,False,w,w,v,5916,1
f,e,True,g,g,v,2338,0
k,n,False,p,p,v,5837,1
f,g,True,g,g,v,5578,0
k,e,False,p,p,v,3939,1
f,g,True,w,p,v,3811,0
x,n,True,p,g,v,4049,0
f,n,False,p,w,v,3857,1
f,n,False,p,w,v,2653,1
f,n,True,w,p,y,7791,0
x,e,False,p,w,v,1967,1
f,w,False,w,w,a,5576,0
x,n,True,w,w,y,7910,0
f,g,True,w,g,y,3029,0
b,n,False,o,o,v,5107,0
k,e,False,w,p,v,887,1
x,w,False,w,w,s,2387,0
x,g,False,w,w,v,4155,1
x,w,False,w,w,a,452,0
f,g,False,w,w,s,170,0
f,p,True,w,w,v,1512,1
f,w,False,w,w,s,3397,0
b,b,True,w,w,v,1832,1
b,w,True,w,w,n,6231,0
k,n,False,w,n,v,3152,1
f,e,True,p,w,y,107,0
f,n,False,p,w,v,8117,1
x,n,True,w,g,v,2172,0
x,g,False,w,w,a,5502,0
f,g,True,p,g,v,3771,0
f,g,False,b,n,v,3203,1
f,w,True,w,w,v,2641,1
f,b,True,w,w,v,2772,1
k,n,False,p,p,v,7849,1
f,y,False,n,n,v,5340,1
f,g,False,b,n,v,6451,1
b,p,True,w,w,v,5218,1
k,n,False,p,w,v,2455,1
k,n,False,w,w,v,4505,1
f,e,False,p,p,v,5336,1
f,g,True,w,w,y,6309,0
x,w,False,w,w,a,4231,0
f,y,False,p,n,y,1984,1
x,g,True,w,p,v,5140,0
f,g,True,w,p,v,6931,0
f,y,True,w,w,y,4350,0
f,y,False,b,p,y,2870,1
f,g,True,p,g,y,2405,0
x,g,True,w,p,y,2716,0
x,w,True,w,w,s,8055,0
k,e,False,p,w,v,4297,1
f,g,False,w,w,a,4885,0
f,n,False,p,p,v,6002,1
f,y,False,n,b,v,7267,1
f,n,False,w,w,s,4012,0
x,g,True,w,p,v,2135,0
f,w,False,w,w,a,3532,0
x,n,False,w,w,v,6170,1
f,n,False,w,n,v,2592,0
f,g,True,g,p,v,7509,0
x,n,False,o,o,c,3639,0
f,n,False,w,w,s,5247,0
x,g,True,w,w,y,2898,0
f,g,False,p,p,y,6266,1
x,n,False,w,p,v,7295,1
f,w,True,w,w,s,2124,1
k,n,False,o,o,v,3006,0
x,e,True,g,w,y,1271,0
x,p,False,w,w,s,6946,1
k,e,False,p,w,v,5485,1
x,e,True,g,p,v,4697,0
f,y,False,b,n,y,4037,1
f,g,True,p,w,y,7715,0
x,g,False,n,b,v,3252,1
x,w,True,w,w,v,6639,0
f,e,True,w,p,v,4359,0
k,n,False,p,p,v,2440,1
f,e,False,w,w,v,3434,1
x,g,False,n,b,v,5305,1
x,g,False,w,w,s,2877,0
f,g,False,n,n,v,1799,1
x,y,False,n,p,v,839,1
f,p,True,w,w,c,5240,0
k,e,False,p,p,v,1549,1
f,g,True,w,w,s,3180,1
f,g,True,p,p,v,279,0
x,n,True,w,w,y,3515,0
x,n,True,w,g,y,4261,0
x,w,False,w,w,v,2496,1
x,y,False,b,p,y,657,1
f,b,True,w,w,v,5675,1
f,n,True,p,w,y,7012,0
x,e,False,w,w,v,6165,1
f,g,False,p,b,v,4837,1
x,g,False,p,b,v,786,1
x,n,True,g,w,v,7722,0
f,g,True,p,p,y,1187,0
f,w,False,w,w,s,3108,0
f,w,True,w,w,s,4754,1
x,n,True,w,g,y,5900,0
f,g,True,w,g,y,207,0
x,w,False,w,w,s,895,0
x,n,False,p,w,v,1673,1
f,g,False,n,b,v,5041,1
f,n,True,w,w,s,5865,0
x,e,True,g,w,y,2563,0
x,y,False,p,n,v,5200,1
x,e,True,w,w,v,150,0
f,n,False,w,w,s,4926,0
k,e,False,p,p,v,1227,1
x,e,True,e,w,c,2539,0
f,y,False,n,b,v,5556,1
x,n,False,p,p,v,503,1
x,e,False,p,w,v,5378,1
f,n,False,w,w,v,4850,1
k,e,False,p,w,v,2297,1
x,w,False,w,w,s,2921,0
b,y,True,w,w,n,5737,0
x,e,False,p,w,v,7753,1
x,w,False,w,w,v,2313,1
x,y,False,p,b,v,6903,1
x,e,False,p,p,v,7365,1
f,n,False,w,w,v,1289,1
b,w,True,w,w,n,6965,0
f,e,False,w,p,v,3933,1
x,e,False,w,w,v,2919,1
f,n,False,p,w,v,7455,1
f,g,False,p,n,y,2277,1
k,n,False,p,w,v,5928,1
b,w,True,w,w,n,7897,0
k,w,False,w,w,n,1098,0
f,e,True,p,p,v,1407,0
x,g,False,p,n,y,6630,1
x,e,False,w,w,v,6715,1
x,g,False,p,p,y,8039,1
x,g,True,p,g,y,7494,0
b,n,False,w,y,v,2250,1
f,y,False,p,p,v,1414,1
x,y,True,w,w,n,1743,0
x,n,True,g,w,v,1378,0
x,g,False,b,b,v,2391,1
f,n,True,w,g,y,4537,0
f,y,False,n,b,y,4500,1
x,w,True,w,w,v,6197,1
x,n,False,w,w,v,1662,1
k,n,False,w,w,v,4595,1
x,e,False,p,p,v,6184,1
x,w,False,w,w,s,1954,0
x,g,True,g,w,v,1082,0
x,n,True,p,p,y,536,0
f,y,False,p,p,y,1197,1
x,g,False,w,w,s,260,0
b,b,True,w,w,v,3038,1
x,y,True,w,w,n,1062,0
f,g,True,p,w,y,2859,0
x,y,False,b,p,y,6156,1
k,e,False,w,w,v,5465,1
f,n,True,p,w,y,7180,0
x,p,True,w,w,c,6860,0
x,w,True,w,w,v,2199,1
b,w,False,w,w,s,146,0
x,n,True,w,w,s,998,0
f,e,True,p,g,y,5065,0
f,y,False,p,n,y,7290,1
x,e,False,p,p,v,4755,1
x,w,False,w,w,a,6869,0
k,e,False,p,w,v,4307,1
f,y,True,w,w,y,293,0
x,g,False,p,n,v,6571,1
x,g,False,w,w,a,3363,0
f,e,False,p,p,v,5792,1
b,g,False,w,w,n,816,0
x,n,False,w,w,v,1580,1
b,n,False,n,n,y,3196,0
x,g,True,p,w,v,5589,0
x,e,True,p,p,y,4710,0
k,e,False,p,w,v,6734,1
x,y,True,w,w,y,1030,0
x,g,True,w,p,v,6407,0
b,w,True,w,w,n,5264,0
f,y,False,w,y,v,6345,1
f,g,False,n,b,y,8008,1
f,g,False,n,n,y,245,1
f,g,False,n,p,v,716,1
f,n,False,w,w,v,7785,1
f,w,True,w,w,v,1441,1
k,w,False,w,w,s,5204,0
x,n,False,p,w,v,4902,1
k,n,False,p,w,v,3116,1
x,w,False,w,w,s,5183,0
x,g,False,n,b,y,1881,1
k,n,False,o,o,c,7469,0
f,e,False,w,p,v,4646,1
x,y,True,w,w,n,5952,0
k,e,False,w,w,v,2924,1
f,y,False,p,b,y,1622,1
f,g,True,p,g,v,4004,0
k,p,True,w,e,c,5503,0
f,g,True,w,p,y,4526,0
f,n,False,p,w,v,7111,1
f,n,False,w,w,s,2355,0
f,e,False,p,w,v,4950,1
f,e,False,w,w,v,5144,1
f,g,False,n,p,v,6772,1
k,n,False,o,o,c,4247,0
f,g,True,g,p,v,5457,0
x,g,False,w,w,s,4183,0
s,g,False,w,w,y,5925,0
f,g,False,n,n,y,2675,1
f,g,False,n,p,v,1157,1
f,g,False,w,w,a,4076,0
f,e,False,p,w,v,4095,1
b,w,True,w,w,s,4311,0
f,n,True,w,g,y,8063,0
f,g,False,w,w,s,1746,0
f,b,True,w,w,v,1127,1
x,e,True,p,p,y,3970,0
f,g,False,b,b,y,568,1
x,n,False,p,p,v,4284,1
b,n,False,o,o,v,1661,0
x,g,False,p,n,y,6832,1
k,e,False,p,p,v,5826,1
f,g,False,p,n,v,2023,1
k,e,False,p,w,v,2584,1
f,g,True,g,g,y,7839,0
x,g,False,p,p,v,7419,1
f,e,False,p,p,v,6761,1
x,n,True,p,g,v,3578,0
f,e,True,w,p,v,6271,0
x,g,False,b,b,y,3656,1
x,y,True,w,w,n,1226,0
f,y,False,n,n,y,6482,1
x,n,False,w,w,v,6652,1
f,y,False,n,n,v,3039,1
x,g,False,w,w,s,6122,1
f,n,False,w,w,v,2024,1
x,g,False,w,w,s,979,0
f,w,True,w,w,v,6706,1
x,e,True,w,g,v,5707,0
x,w,True,w,w,v,198,0
x,n,False,w,w,y,3284,0
x,n,True,w,w,s,6363,1
f,g,True,w,g,v,1951,0
f,n,False,w,w,v,2873,1
x,e,False,p,p,v,4374,1
x,y,True,w,w,s,1712,0
x,e,True,g,p,y,7454,0
b,w,True,w,w,v,3910,1
x,e,True,w,w,y,5297,0
x,y,True,w,w,s,5594,0
x,n,False,w,p,v,2590,1
x,w,True,w,w,n,7620,0
x,g,False,w,w,s,6120,1
f,b,True,w,w,v,6376,1
k,e,False,p,p,v,5608,1
f,g,False,p,n,y,7799,1
f,n,True,p,g,y,3326,0
x,g,False,b,b,v,4344,1
x,e,False,p,w,v,5985,1
x,n,False,w,w,s,7970,0
f,n,True,w,w,s,3303,0
f,e,False,p,p,v,59,1
f,n,True,w,w,v,4572,1
x,n,False,p,p,v,7759,1
x,g,False,n,p,y,7816,1
k,g,False,w,w,n,43,0
x,g,True,p,w,v,6684,0
x,g,False,w,w,v,4345,0
k,y,False,w,y,v,65,1
f,e,True,p,w,v,761,0
f,n,False,p,p,v,2324,1
f,g,True,p,w,v,5052,0
k,n,False,w,w,v,2490,1
x,g,True,w,w,v,2501,1
f,n,True,w,w,s,219,0
f,e,False,w,w,v,6386,1
f,n,True,p,p,y,3464,0
f,g,False,w,w,s,5847,0
k,n,False,w,w,v,6097,1
x,w,True,w,w,v,5844,0
x,e,True,g,g,v,6606,0
x,n,True,w,w,s,3754,0
k,n,False,w,p,v,4684,1
x,y,False,p,p,y,91,1
f,n,False,w,w,a,3622,0
x,n,True,w,w,s,7922,1
f,y,False,b,n,v,6024,1
f,y,False,b,p,y,84,1
f,w,False,w,w,a,5021,0
f,g,True,w,w,s,2868,1
f,n,True,w,w,y,1894,0
f,g,True,w,w,v,7404,0
f,e,True,g,p,v,4224,0
k,n,False,o,o,v,4527,0
x,g,False,w,w,s,5564,1
x,g,True,w,g,v,4343,0
x,e,False,p,p,v,7848,1
x,w,False,w,w,n,7073,0
k,n,True,w,w,c,2343,0
f,n,False,p,w,v,6196,1
x,n,True,p,w,v,7068,0
x,e,True,w,w,y,5164,0
f,y,False,n,n,y,255,1
k,n,False,p,w,v,6488,1
f,e,True,w,g,v,3428,0
x,g,False,p,p,y,2305,1
x,n,True,w,w,y,6901,0
x,e,True,w,g,v,5628,0
b,n,False,o,o,c,1538,0
b,n,False,o,o,v,1955,0
x,w,True,w,w,v,637,1
k,e,True,w,w,c,1642,0
f,e,False,p,p,v,6695,1
f,g,False,n,p,v,4199,1
f,g,False,b,p,v,2626,1
f,w,False,w,w,s,671,0
x,y,True,w,w,n,609,0
f,e,True,p,p,v,4425,0
b,n,False,o,o,c,1896,0
f,y,False,n,b,v,1965,1
k,n,False,w,p,v,7740,1
f,w,True,w,w,v,5157,1
f,p,True,e,e,c,505,0
x,y,True,w,w,n,8032,0
f,w,True,w,w,s,6633,1
f,e,True,w,w,v,1379,0
x,e,True,p,p,v,2735,0
x,b,True,e,w,c,300,0
f,e,True,w,w,y,4105,0
f,g,True,p,p,v,1942,0
f,y,True,w,w,s,5235,0
x,n,False,w,w,a,2303,0
f,g,False,n,b,y,4489,1
x,p,True,w,w,c,5083,0
f,n,True,w,w,v,765,1
f,g,False,w,w,s,7101,0
x,g,False,p,b,y,4510,1
x,g,False,w,w,a,6037,0
f,y,False,n,b,y,4836,1
f,g,False,n,b,y,54,1
x,e,False,w,w,v,7578,1
x,c,False,w,n,v,4734,0
f,e,True,w,w,y,7777,0
x,e,False,w,p,v,6877,1
k,e,False,p,p,v,7783,1
f,g,False,b,p,v,1690,1
f,g,False,b,n,v,6601,1
x,y,False,n,p,y,6763,1
f,n,True,p,g,y,6717,0
f,n,False,w,w,s,7241,0
x,w,True,w,w,n,5646,0
x,e,True,g,w,v,2765,0
f,g,False,p,b,v,6295,1
f,g,False,w,w,a,485,0
x,n,True,p,w,v,3785,0
x,y,False,n,n,y,7064,1
f,n,True,w,g,y,6739,0
f,e,True,w,w,v,3590,0
f,n,False,p,p,v,4652,1
k,e,False,w,p,v,519,1
f,g,False,w,w,s,4330,0
f,c,False,w,n,v,6443,0
f,w,True,w,w,s,4771,1
x,n,False,p,p,v,7782,1
f,g,False,b,n,y,1750,1
k,p,True,e,e,c,6028,0
x,y,False,b,p,v,6117,1
x,n,False,w,w,s,1458,0
x,p,False,w,w,v,7385,1
f,b,True,w,w,s,474,1
k,n,False,w,p,v,3433,1
x,e,False,p,p,v,5345,1
f,g,False,w,w,a,2562,0
x,g,False,w,w,a,5392,0
f,n,False,p,w,v,6937,1
f,n,False,o,o,v,3908,0
f,e,False,w,p,v,1616,1
x,n,False,w,w,a,5014,0
f,y,True,w,w,s,195,0
x,n,False,o,o,c,1928,0
b,g,False,w,w,s,5318,0
k,e,False,p,p,v,557,1
k,e,False,w,p,v,5486,1
x,w,False,w,w,s,539,0
x,g,False,b,n,v,6479,1
x,y,False,n,n,v,6523,1
f,w,True,w,w,s,921,1
k,b,True,e,e,c,677,0
k,n,False,o,o,v,2325,0
k,n,False,w,y,v,5970,1
x,n,False,w,w,s,6605,0
x,n,True,p,p,y,3136,0
f,y,False,n,p,y,3388,1
f,y,False,n,b,v,3064,1
f,n,False,w,w,v,4032,1
x,w,True,w,w,s,1508,1
x,w,True,w,w,s,2521,1
f,e,False,w,w,v,2037,1
x,y,False,b,n,y,6782,1
b,y,True,w,w,s,4250,0
x,e,True,g,g,y,5871,0
f,g,False,p,p,y,419,1
x,e,True,w,p,y,2182,0
x,e,True,g,p,v,3212,0
f,g,True,w,g,y,4721,0
f,p,True,w,e,c,2411,0
x,n,False,p,p,v,4272,1
x,n,False,o,o,c,243,0
f,w,True,w,w,v,3139,0
x,n,False,w,w,a,2572,0
x,g,False,w,w,s,7231,1
b,w,False,w,w,s,4172,0
f,e,False,p,p,v,17,1
f,n,False,w,p,v,8041,1
x,e,False,w,w,v,2360,1
f,y,False,n,n,v,6808,1
x,y,False,n,n,y,5033,1
f,g,True,p,w,y,1488,0
f,e,True,w,p,y,3107,0
x,n,True,w,g,y,4866,0
x,w,True,w,w,v,4308,0
x,e,False,p,w,v,2731,1
b,w,True,w,w,s,6215,0
k,n,False,w,w,v,936,1
x,n,False,w,w,v,696,1
x,n,False,w,p,v,5524,1
b,y,True,w,w,n,2771,0
f,n,True,g,p,v,4791,0
x,e,True,g,g,v,799,0
x,w,True,w,w,s,187,1
x,e,False,p,p,v,1092,1
x,e,False,w,p,v,3504,1
x,g,True,p,g,y,1016,0
k,c,False,w,n,v,3486,0
x,e,False,p,p,v,5500,1
x,n,False,w,w,a,7014,0
x,y,True,w,w,s,3262,0
f,y,False,n,n,v,1111,1
f,g,True,w,g,v,7689,0
x,n,False,w,w,v,2627,1
x,n,True,p,p,v,7490,0
f,e,True,g,p,v,1563,0
k,n,False,w,p,v,7146,1
x,g,True,p,w,v,7652,0
f,g,False,w,w,v,2174,0
f,e,False,w,w,v,4841,1
x,y,False,p,b,v,6444,1
f,w,True,w,w,v,560,1
f,g,False,b,p,y,7202,1
f,g,False,n,p,y,2062,1
f,e,False,w,p,v,4041,1
b,y,True,w,w,n,6790,0
x,e,True,w,g,y,7940,0
k,e,False,w,p,v,3088,1
f,y,False,n,b,y,1492,1
k,e,False,p,w,v,7049,1
f,e,True,w,w,v,6358,0
x,g,False,w,w,s,6682,0
f,g,False,w,w,a,2320,0
f,e,False,w,p,v,2616,1
f,w,True,w,w,v,6128,1
f,n,False,w,p,v,1386,1
x,y,False,b,n,y,1784,1
f,n,False,w,p,v,2978,1
x,n,False,w,w,v,4757,1
b,w,True,w,w,n,7059,0
x,e,True,p,g,v,5974,0
k,e,False,w,w,v,4300,1
x,g,False,w,w,a,3635,0
b,p,True,w,w,v,7173,1
x,b,True,w,w,v,7143,1
x,n,True,w,w,s,5176,1
f,w,False,w,w,s,4767,0
x,g,True,w,w,s,7272,1
x,y,False,p,p,v,3194,1
x,n,False,w,w,a,5269,0
x,g,True,g,g,v,2196,0
x,g,False,w,w,s,4798,0
f,e,True,w,w,v,203,0
x,n,False,p,w,v,7758,1
f,g,False,b,n,v,3594,1
x,y,False,b,p,y,3407,1
f,g,True,p,g,v,2396,0
f,n,False,w,w,a,875,0
x,g,False,b,p,y,5532,1
f,g,False,w,w,s,3120,0
b,p,True,w,w,v,4420,1
f,y,False,b,p,v,5320,1
x,w,True,w,w,s,8001,0
x,y,False,b,b,y,6588,1
x,n,False,w,n,v,2815,1
f,n,False,p,w,v,3293,1
f,g,False,p,p,v,1742,1
x,g,False,w,w,s,4654,1
f,n,True,p,g,v,5258,0
f,e,False,w,w,v,749,1
f,n,False,p,w,v,8043,1
x,e,False,p,p,v,6989,1
f,g,True,w,w,y,2932,0
f,g,False,b,p,v,1160,1
x,e,False,c,c,c,2280,1
b,y,True,w,w,s,5835,0
s,g,False,w,w,y,1760,0
x,n,False,w,p,v,2647,1
x,y,False,p,n,v,1657,1
f,g,True,w,w,s,1621,1
x,n,False,w,w,v,6775,0
x,g,False,n,n,y,4395,1
x,y,False,p,n,v,3257,1
f,n,False,w,w,s,6912,0
f,g,False,w,w,s,4918,0
x,w,False,w,w,n,5951,0
f,e,False,w,w,v,807,1
x,g,False,w,w,s,5063,1
b,w,True,w,w,n,922,0
x,y,False,p,p,y,2606,1
x,g,False,n,b,y,2430,1
x,p,False,w,w,v,6263,1
k,n,False,p,w,v,8099,1
k,e,False,w,p,v,4472,1
x,e,False,p,w,v,4310,1
f,n,False,p,p,v,249,1
b,p,True,w,w,v,3015,1
x,n,False,o,o,c,5832,0
x,e,False,p,p,v,7505,1
f,n,True,w,w,v,5854,1
x,y,True,w,w,n,6833,0
f,g,False,p,n,v,71,1
k,e,False,p,p,v,7395,1
x,n,False,p,p,v,6634,1
x,g,False,w,w,a,5669,0
x,e,True,w,p,v,2747,0
f,e,True,w,w,c,4865,0
b,n,False,o,o,c,5442,0
f,e,False,p,p,v,6219,1
x,e,True,g,w,v,7934,0
k,e,False,w,p,v,3246,1
x,g,False,b,n,v,3316,1
f,g,False,p,b,y,7072,1
f,n,False,p,w,v,2824,1
f,n,True,p,g,v,6596,0
f,g,False,b,p,y,3789,1
f,g,False,n,n,v,6,1
f,e,True,g,w,y,2180,0
f,y,False,n,p,v,41,1
x,n,False,w,w,v,1938,1
b,w,True,w,w,v,1590,1
x,y,False,p,p,v,5019,1
x,g,False,p,b,y,5205,1
x,y,False,n,n,y,1305,1
f,n,True,p,w,y,6089,0
f,e,False,p,w,v,6814,1
b,n,False,o,o,c,7632,0
f,g,False,n,n,y,5141,1
x,n,False,w,w,a,3917,0
x,n,True,w,p,v,2968,0
x,e,True,w,g,y,7853,0
f,e,True,w,p,v,1729,0
x,n,False,w,w,v,3523,0
x,y,True,w,w,n,4454,0
x,e,False,w,w,v,4651,1
f,y,False,n,n,v,4740,1
x,y,True,w,w,y,6082,0
x,g,False,b,n,v,2385,1
x,n,False,w,p,v,3396,1
f,g,True,w,g,y,1840,0
x,g,False,w,w,a,1040,0
x,w,True,w,w,s,4922,0
f,g,True,w,w,y,449,0
f,w,True,w,w,s,5896,1
x,n,False,w,w,y,5023,0
x,n,True,w,w,y,3961,0
k,n,False,w,w,v,4751,1
x,p,False,w,w,s,6258,1
x,n,False,w,p,v,4739,1
f,e,False,w,p,v,6315,1
x,g,False,w,w,v,1672,1
x,y,False,b,n,y,332,1
b,g,False,w,w,n,7527,0
x,y,True,w,w,n,4731,0
b,n,False,o,o,c,835,0
x,y,False,b,p,v,1077,1
f,g,False,p,b,y,2795,1
x,g,False,w,w,a,8086,0
x,e,False,p,w,v,6750,1
x,g,False,p,n,y,1108,1
f,e,False,p,w,v,5676,1
f,n,False,w,w,a,1884,0
f,g,False,b,b,v,1632,1
f,n,True,w,g,y,7335,0
f,e,True,w,g,v,3803,0
f,w,True,w,w,s,3981,1
f,y,False,b,n,y,2887,1
f,n,False,p,p,v,1723,1
x,g,False,p,b,v,3025,1
x,w,True,w,w,s,2614,0
x,n,False,w,n,v,5756,0
k,c,False,c,c,c,1387,1
x,n,False,w,p,v,2293,1
f,n,True,w,w,s,7962,1
x,n,False,w,w,v,1542,1
f,n,False,w,p,v,4546,1
k,w,False,w,w,s,638,0
x,e,False,w,w,v,2820,1
x,g,True,p,w,y,6819,0
f,n,True,p,g,y,3041,0
f,n,False,w,w,v,1565,1
x,y,True,w,w,y,1469,0
k,n,False,p,p,v,7358,1
f,n,False,o,o,v,6917,0
f,g,True,w,g,v,2168,0
x,e,True,w,w,v,7145,0
f,g,False,w,w,s,5895,0
k,e,False,p,w,v,1121,1
x,n,True,w,w,v,6059,0
x,w,True,w,w,v,1377,0
f,g,False,n,b,y,2209,1
k,n,False,p,w,v,7167,1
x,g,False,w,w,v,7125,0
x,p,False,w,w,v,2136,1
f,g,False,p,p,y,3922,1
f,n,False,w,p,v,121,1
f,y,False,p,b,v,7201,1
x,w,False,w,w,a,4821,0
f,w,True,w,w,v,3530,0
x,w,True,w,w,s,1688,1
f,g,False,w,w,s,5238,0
s,n,False,w,w,v,7506,0
f,n,False,w,w,s,6213,0
f,e,True,p,g,y,789,0
f,g,True,g,g,y,2531,0
f,g,False,n,n,v,1237,1
x,e,False,p,p,v,713,1
f,g,True,g,w,y,3099,0
x,g,False,w,w,s,5082,1
x,g,True,w,w,v,3733,0
k,e,False,p,p,v,1120,1
b,n,False,o,o,c,2722,0
f,g,False,b,b,v,4942,1
f,y,False,n,n,y,2728,1
x,n,False,w,w,a,4201,0
f,n,False,p,w,v,1193,1
f,n,True,p,g,y,591,0
x,g,False,n,p,y,6613,1
f,g,True,g,p,v,1155,0
b,y,True,w,w,n,6318,0
x,b,True,w,w,s,5090,1
